year_from,year_to,lon,lat,ssim,resnet_cosine_dist
2018,2019,120.655,24.125,0.0026847045351507453,0.7748662233352661
2018,2019,120.655,24.135,0.0023949778977107963,0.7584925889968872
2018,2019,120.655,24.145,0.0019519671497439353,0.7206989526748657
2018,2019,120.655,24.155,0.0019720285586176107,0.7495548725128174
2018,2019,120.655,24.165,0.0020138251764757293,0.7101379632949829
2018,2019,120.655,24.175,0.0021130989025746555,0.7379827499389648
2018,2019,120.655,24.185,0.002368692403400173,0.7968244552612305
2018,2019,120.655,24.195,0.0025357408422920073,0.8001083135604858
2018,2019,120.655,24.205,0.002499521779366515,0.7624858617782593
2018,2019,120.665,24.085,0.00530714321166489,0.7685527205467224
2018,2019,120.665,24.095,0.0046285828052381,0.7412550449371338
2018,2019,120.665,24.105,0.003515484472580262,0.7599321007728577
2018,2019,120.665,24.115,0.002923343739711482,0.7190806865692139
2018,2019,120.665,24.125,0.0023885418309239383,0.7526484131813049
2018,2019,120.665,24.135,0.002118288818739505,0.7169173955917358
2018,2019,120.665,24.145,0.0018662480490672648,0.71779465675354
2018,2019,120.665,24.155,0.0018091775493184168,0.7346504926681519
2018,2019,120.665,24.165,0.0016891428311254669,0.7246295213699341
2018,2019,120.665,24.175,0.0018051346138914994,0.720480740070343
2018,2019,120.665,24.185,0.0022107984323069528,0.7757724523544312
2018,2019,120.665,24.195,0.002644670060262486,0.7766995429992676
2018,2019,120.665,24.205,0.0025917510741012835,0.7492785453796387
2018,2019,120.675,24.085,0.00490491627443032,0.7498158812522888
2018,2019,120.675,24.095,0.004231584766744845,0.7588503360748291
2018,2019,120.675,24.105,0.0035483489356875906,0.7674248218536377
2018,2019,120.675,24.115,0.0031483459410550333,0.7209885120391846
2018,2019,120.675,24.125,0.0026592192566345725,0.7784358263015747
2018,2019,120.675,24.135,0.0021983945690815443,0.7792899012565613
2018,2019,120.675,24.145,0.0019091412249686427,0.7572211027145386
2018,2019,120.675,24.155,0.0017523294048640925,0.7653149366378784
2018,2019,120.675,24.165,0.0016677766163726902,0.7268022298812866
2018,2019,120.675,24.175,0.001839760420352572,0.7408876419067383
2018,2019,120.675,24.185,0.0021968781635518355,0.7933474779129028
2018,2019,120.675,24.195,0.0026421340028043626,0.7690922021865845
2018,2019,120.675,24.205,0.0025872123646189077,0.7597178816795349
2018,2019,120.685,24.085,0.004503932106525503,0.724137544631958
2018,2019,120.685,24.095,0.0038962696916354676,0.7163078188896179
2018,2019,120.685,24.105,0.003401951223588428,0.7275296449661255
2018,2019,120.685,24.115,0.0029853116712722106,0.7193343043327332
2018,2019,120.685,24.125,0.00258448296404889,0.7656074166297913
2018,2019,120.685,24.135,0.002137570098371478,0.7842695116996765
