year,lon,lat,edge_density,building_coverage,texture_entropy,ssim,resnet_cosine_dist,building_count,building_area_mean,amenity_count,shop_count,leisure_count,poi_diversity,road_length_total,d_edge_density,d_building_coverage,d_texture_entropy,d_building_count,d_building_area_mean,d_amenity_count,d_shop_count,d_leisure_count,d_poi_diversity,d_road_length_total
2025,120.615,24.125,0.1265081272893773,0.1934220467032967,3.0719458298036746,0.7133429121115759,0.0645420551300048,1,25.138476197696505,0,0,0,0.0,0.0,0.019478021978021995,0.004606227106227212,0.06126795756468573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,120.615,24.135,0.0,0.0,0.0,,,8,489.5387250552328,5,0,0,-0.0,0.0,,,,,,,,,,
2019,120.615,24.135,0.058784913003663,0.173751717032967,2.841275573530585,0.0048904050856559,0.7828746438026428,8,489.5387250552328,5,0,0,-0.0,0.0,0.058784913003663,0.173751717032967,2.841275573530585,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,120.615,24.135,0.0877707188644688,0.2147046703296703,2.987454675238256,0.7657198130408871,0.0555331110954284,8,489.5387250552328,5,0,0,-0.0,0.0,0.028985805860805798,0.040952953296703315,0.14617910170767123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,120.615,24.135,0.1082411858974359,0.2158808379120879,3.0843894499286497,0.8823024277184464,0.0838969945907592,9,613.2307051608664,5,0,0,-0.0,0.0,0.020470467032967093,0.0011761675824175921,0.09693477469039369,1.0,123.69198010563355,0.0,0.0,0.0,0.0,0.0
2022,120.615,24.135,0.0,0.0,0.0,0.0036659350795445,0.7578126788139343,17,571.8893127567156,5,0,0,-0.0,0.0,-0.1082411858974359,-0.2158808379120879,-3.0843894499286497,8.0,-41.341392404150724,0.0,0.0,0.0,0.0,0.0
2023,120.615,24.135,0.1216420558608058,0.2047069597069597,3.116896044298577,0.0093707496794876,0.781284511089325,17,571.8893127567156,5,0,0,-0.0,0.0,0.1216420558608058,0.2047069597069597,3.116896044298577,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,120.615,24.135,0.1099690934065934,0.1756822344322344,3.01053243328372,0.5873632676025716,0.0849987268447876,17,571.8893127567156,5,0,0,-0.0,0.0,-0.011672962454212399,-0.0290247252747253,-0.10636361101485692,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,120.615,24.135,0.1281055402930403,0.1774284569597069,3.063197138083392,0.7278017965905516,0.0316966772079467,20,597.9926810796284,4,0,0,-0.0,0.0,0.018136446886446903,0.0017462225274725018,0.052664704799672,3.0,26.10336832291273,-1.0,0.0,0.0,0.0,0.0
2018,120.615,24.145,0.0,0.0,0.0,,,11,569.5891549012335,0,0,0,0.0,0.0,,,,,,,,,,
