year,lon,lat,building_count,building_area_mean,amenity_count,shop_count,leisure_count,poi_diversity,road_length_total
2018,120.685,24.185,13,1485.7377051334754,11,1,0,0.41381685030363374,0.0
2018,120.685,24.195,9,2808.0141835937707,5,0,0,-0.0,0.0
2018,120.685,24.205,0,0.0,0,0,0,0.0,0.0
2018,120.695,24.085,540,85.96931651793126,5,1,0,0.6500224216483541,0.0
2018,120.695,24.095,25,149.7263408565671,3,2,0,0.9709505944546686,0.0
2018,120.695,24.105,26,796.5682134432805,0,2,0,-0.0,0.0
2018,120.695,24.115,11,833.2765997626499,0,1,0,-0.0,0.0
2018,120.695,24.125,6,642.292931414727,0,0,0,0.0,0.0
2018,120.695,24.135,5,3812.8740112878077,2,0,0,-0.0,0.0
2018,120.695,24.145,56,613.2444718932786,3,1,0,0.8112781244591328,0.0
2018,120.695,24.155,160,263.6370780449706,4,2,0,0.9182958340544896,0.0
2018,120.695,24.165,31,954.324259834797,9,2,0,0.6840384356390417,0.0
2018,120.695,24.175,11,2671.441670782279,2,2,0,1.0,0.0
2018,120.695,24.185,3,767.0334949414105,1,1,0,1.0,0.0
2018,120.695,24.195,2,3773.2840102343457,0,0,0,0.0,0.0
2018,120.695,24.205,0,0.0,0,0,0,0.0,0.0
2018,120.705,24.085,175,136.44226520567398,2,1,0,0.9182958340544896,0.0
2018,120.705,24.095,19,813.6575373808662,2,1,0,0.9182958340544896,0.0
2018,120.705,24.105,26,344.8377595581948,0,0,0,0.0,0.0
2018,120.705,24.115,31,1453.926235713562,0,0,0,0.0,0.0
2018,120.705,24.125,0,0.0,0,0,0,0.0,0.0
2018,120.705,24.135,3,746.8184742212967,2,0,0,-0.0,0.0
2018,120.705,24.145,23,1143.0033842339467,6,1,1,1.061278124459133,0.0
2018,120.705,24.155,17,622.8511426294622,1,0,0,-0.0,0.0
2018,120.705,24.165,9,2606.4869782198625,1,0,0,-0.0,0.0
2018,120.705,24.175,4,3650.3547948650107,1,1,0,1.0,0.0
2018,120.705,24.185,5,2337.066160538027,0,0,0,0.0,0.0
2018,120.705,24.195,2,6103.681881891715,0,0,0,0.0,0.0
2018,120.705,24.205,2,996.2569921487071,1,0,0,-0.0,0.0
2018,120.715,24.085,0,0.0,0,0,0,0.0,0.0
2018,120.715,24.095,10,2563.6429916860297,2,0,1,0.9182958340544896,0.0
2018,120.715,24.105,1,5681.451242745647,1,0,0,-0.0,0.0
2018,120.715,24.115,19,1574.2096549446733,0,0,0,0.0,0.0
2018,120.715,24.125,15,1514.0778649116714,4,3,0,0.9852281360342515,0.0
2018,120.715,24.135,2,1793.82242868187,1,0,0,-0.0,0.0
2018,120.715,24.145,11,1762.2392114040174,6,1,0,0.5916727785823275,0.0
2018,120.715,24.155,7,1618.0361579967466,0,0,1,-0.0,0.0
2018,120.715,24.165,28,1180.3285295485152,0,1,0,-0.0,0.0
